,0
ASV591,32.0
ASV590,32.0
ASV589,32.0
ASV588,32.0
ASV587,32.0
ASV586,32.0
ASV585,32.0
ASV584,32.0
ASV583,32.0
ASV582,32.0
ASV581,32.0
ASV580,32.0
ASV579,32.0
ASV578,32.0
ASV577,32.0
ASV576,32.0
ASV597,31.0
ASV600,31.0
ASV599,31.0
ASV598,31.0
ASV596,31.0
ASV595,31.0
ASV594,31.0
ASV593,31.0
ASV608,30.0
ASV615,30.0
ASV614,30.0
ASV613,30.0
ASV612,30.0
ASV611,30.0
ASV610,30.0
ASV609,30.0
ASV607,30.0
ASV606,30.0
ASV605,30.0
ASV604,30.0
ASV603,30.0
ASV602,30.0
ASV601,30.0
ASV623,29.0
ASV629,29.0
ASV628,29.0
ASV626,29.0
ASV625,29.0
ASV624,29.0
ASV627,29.0
ASV622,29.0
ASV620,29.0
ASV619,29.0
ASV616,29.0
ASV618,29.0
ASV617,29.0
ASV621,29.0
ASV634,28.0
ASV637,28.0
ASV636,28.0
ASV635,28.0
ASV633,28.0
ASV632,28.0
ASV631,28.0
ASV630,28.0
ASV644,27.0
ASV649,27.0
ASV648,27.0
ASV647,27.0
ASV646,27.0
ASV645,27.0
ASV640,27.0
ASV643,27.0
ASV642,27.0
ASV641,27.0
ASV639,27.0
ASV638,27.0
ASV659,26.0
ASV667,26.0
ASV666,26.0
ASV665,26.0
ASV664,26.0
ASV662,26.0
ASV661,26.0
ASV660,26.0
ASV663,26.0
ASV658,26.0
ASV656,26.0
ASV655,26.0
ASV650,26.0
ASV654,26.0
ASV653,26.0
ASV652,26.0
ASV651,26.0
ASV657,26.0
ASV673,25.0
ASV677,25.0
ASV676,25.0
ASV675,25.0
ASV674,25.0
ASV671,25.0
ASV672,25.0
ASV670,25.0
ASV669,25.0
ASV668,25.0
ASV683,24.0
ASV687,24.0
ASV686,24.0
ASV685,24.0
ASV684,24.0
ASV688,24.0
ASV682,24.0
ASV680,24.0
ASV679,24.0
ASV678,24.0
ASV681,24.0
ASV692,23.0
ASV694,23.0
ASV693,23.0
ASV691,23.0
ASV690,23.0
ASV689,23.0
ASV703,22.0
ASV710,22.0
ASV709,22.0
ASV708,22.0
ASV707,22.0
ASV706,22.0
ASV705,22.0
ASV704,22.0
ASV701,22.0
ASV702,22.0
ASV700,22.0
ASV699,22.0
ASV698,22.0
ASV697,22.0
ASV696,22.0
ASV695,22.0
ASV725,21.0
ASV718,21.0
ASV723,21.0
ASV722,21.0
ASV721,21.0
ASV720,21.0
ASV719,21.0
ASV724,21.0
ASV717,21.0
ASV715,21.0
ASV714,21.0
ASV713,21.0
ASV712,21.0
ASV711,21.0
ASV716,21.0
ASV731,20.0
ASV736,20.0
ASV735,20.0
ASV734,20.0
ASV733,20.0
ASV732,20.0
