"name.x","day","height","mean","std","n","se","name.y","class"
"acycloguanosine aciclovir","29","bottom",731493.942443996,63819.7374923747,2,45127.3691544035,NA,"unknown"
"agroclavine","29","middle",187252.08271878,10080.2141238794,2,7127.78776280751,NA,"unknown"
"alafosfalin","01","bottom",798410.473022528,17128.6976837734,2,12111.8182850905,NA,"unknown"
"alafosfalin","01","middle",627860.041718428,12707.5475412332,2,8985.59303865646,NA,"unknown"
"alafosfalin","01","top",815865.936308138,72933.1033834391,4,36466.5516917196,NA,"unknown"
"alafosfalin","08","bottom",400091.010088391,17101.4834989134,2,12092.5749504315,NA,"unknown"
"alafosfalin","11","bottom",619996.587015992,30514.875171347,2,21577.2751607205,NA,"unknown"
"alafosfalin","15","bottom",422183.558293534,23232.2670773752,2,16427.693592749,NA,"unknown"
"alafosfalin","18","bottom",472471.771092922,13652.7265888433,2,9653.935552657,NA,"unknown"
"alafosfalin","29","bottom",492809.948777058,13624.3071530372,2,9633.83997688099,NA,"unknown"
"alafosfalin","29","top",437050.643262205,15569.253546694,2,11009.12476088,NA,"unknown"
"amastatin","29","middle",7481146.87226642,676311.59631985,2,478224.515952865,NA,"unknown"
"amicycline","29","top",164155.106125062,32845.357235953,2,23225.174832037,"amicycline","tetracycline"
"anisomycin","29","middle",160880.664777626,39096.5233417959,2,27645.416775802,NA,"unknown"
"anisomycin","29","top",156904.676580839,17429.1672724429,2,12324.282368779,NA,"unknown"
"aphidicolin","08","bottom",1680681.58698156,1057.70262687916,2,747.908699945081,NA,"unknown"
"arbekacin","01","bottom",200492.654758088,14981.1708221701,2,10593.2874784705,"arbekacin","aminoglycoside"
"arbekacin","08","bottom",250242.467396016,5820.3998702704,2,4115.6442174855,"arbekacin","aminoglycoside"
"arbekacin","11","bottom",154305.56026709,6691.76506132908,2,4731.79245297301,"arbekacin","aminoglycoside"
"arbekacin","18","bottom",152436.550323987,8695.99874438736,2,6148.999681346,"arbekacin","aminoglycoside"
"arbekacin","29","bottom",253124.007685601,5909.05194673374,2,4178.330701919,"arbekacin","aminoglycoside"
"astromicin","25","bottom",129316.925278806,3906.24928081732,2,2762.135355471,NA,"unknown"
"astromicin","29","bottom",146172.168934858,24845.1366428293,2,17568.164599651,NA,"unknown"
"astromicin","29","top",234054.386654036,96026.5115281697,2,67900.997475257,NA,"unknown"
"aurantiogliocladin","01","middle",737797.040850115,535012.671050433,4,267506.335525217,NA,"unknown"
"aurantiogliocladin","04","bottom",231672.732491535,28121.4781957978,4,14060.7390978989,NA,"unknown"
"aurantiogliocladin","08","bottom",760285.838322748,169562.722340775,4,84781.3611703877,NA,"unknown"
"aurantiogliocladin","15","bottom",339800.202814766,26982.2508455071,2,19079.3325445345,NA,"unknown"
"aurantiogliocladin","25","bottom",728437.717986697,304012.209897978,6,124112.464970991,NA,"unknown"
"aurantiogliocladin","29","bottom",1206843.33514326,677292.13984842,6,276503.358237729,NA,"unknown"
"aurantiogliocladin","29","middle",954890.868886394,506023.679146538,10,160018.737608131,NA,"unknown"
"aurantiogliocladin","29","top",1088251.25932497,639890.879753905,6,261234.357742949,NA,"unknown"
"bacimethrin","04","bottom",199329.062329528,30530.9265353142,2,21588.625189029,NA,"unknown"
"bacimethrin","29","top",225269.190199665,25188.6830915635,2,17811.0886232035,NA,"unknown"
"bestatin ubenimex","01","bottom",298350.628316804,34483.2197568421,2,24383.318527209,NA,"unknown"
"bestatin ubenimex","01","top",196580.489250359,25566.0993927128,2,18077.9622490765,NA,"unknown"
"bestatin ubenimex","04","bottom",342096.690149821,67508.7819690403,2,47735.9175199525,NA,"unknown"
"bestatin ubenimex","15","bottom",303667.372978549,10820.1832482194,2,7651.02494849701,NA,"unknown"
"bestatin ubenimex","18","bottom",246720.237464827,34678.4029623247,2,24521.3338953795,NA,"unknown"
"bestatin ubenimex","29","bottom",303764.936074089,11339.680809696,2,8018.36519702701,NA,"unknown"
"bestatin ubenimex","29","middle",120217.682081518,25039.3473240005,2,17705.492289286,NA,"unknown"
"biapenem","29","top",304011.479355027,28560.7310987399,2,20195.4866355645,"penem","beta-lactam"
"brefeldin a","01","middle",1283579.10449534,447080.162000065,6,182519.711836834,NA,"unknown"
"brefeldin a","25","bottom",602152.372472195,301936.68226155,4,150968.341130775,NA,"unknown"
"brefeldin a","29","bottom",391614.795775421,35219.8181161918,2,24904.172222116,NA,"unknown"
"caerulomycin a","01","bottom",699351.380178051,311210.817682576,6,127051.284292773,NA,"unknown"
"caerulomycin a","01","middle",975078.53435107,884530.366134428,8,312728.710029537,NA,"unknown"
"caerulomycin a","01","top",1270356.6528923,1081245.00855782,8,382277.838837671,NA,"unknown"
"caerulomycin a","04","bottom",367305.808383794,130810.485568729,4,65405.2427843644,NA,"unknown"
"caerulomycin a","08","bottom",229706.977521557,63267.6399325645,4,31633.8199662822,NA,"unknown"
"caerulomycin a","11","bottom",423881.332039258,87092.8977834532,4,43546.4488917266,NA,"unknown"
"caerulomycin a","15","bottom",326463.211993353,41228.405113233,4,20614.2025566165,NA,"unknown"
"caerulomycin a","18","bottom",304849.298085841,46613.9263300712,4,23306.9631650356,NA,"unknown"
"caerulomycin a","22","bottom",113524.149854326,9305.37042490419,2,6579.8905289025,NA,"unknown"
"caerulomycin a","25","bottom",801038.869645593,23616.6840147144,2,16699.5174159445,NA,"unknown"
"caerulomycin a","29","bottom",513428.232460189,428731.909757102,8,151579.620350153,NA,"unknown"
"caerulomycin a","29","middle",507299.550132403,670410.686568717,10,212002.47372744,NA,"unknown"
"cefalexin","29","bottom",295374.789996249,2596.39865145085,2,1835.9310931045,"cef","beta-lactam"
"cefaparole","01","top",450247.446656522,9403.4959817127,2,6649.2757755295,"cef","beta-lactam"
