"","peak_number","name","formula","calc_mw","m_z","std","n","se","01-bottom-half","01-middle-half","01-bottom-quarter","01-top-quarter","29-middle-half","01-middle-quarter","01-top-half","04-bottom-half","08-bottom-half","15-bottom-half","18-bottom-half","25-bottom-half","29-bottom-quarter","29-top-half","11-bottom-half","22-bottom-half","29-top-quarter","29-bottom-half","29-middle-quarter"
"29",6528,"2-({4-[6-(2,4-diamino-6-oxo-1,3-diazinan-5-yl)-1,1,1-trifluoro-2,2-dihydroxyhexan-3-yl]phenyl}formamido)pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,1713.78393280859,2,1211.8282403775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128054.630504945,NA,NA,NA,NA,NA,NA,NA,NA
"30",6528,"2-({4-[6-(2,4-diamino-6-oxo-1,3-diazinan-5-yl)-1,1,1-trifluoro-2,2-dihydroxyhexan-3-yl]phenyl}formamido)pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,22065.9249151574,2,15602.965140661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240296.121337468,NA,NA,NA
"31",6528,"2-({4-[6-(2,4-diamino-6-oxo-1,3-diazinan-5-yl)-1,1,1-trifluoro-2,2-dihydroxyhexan-3-yl]phenyl}formamido)pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,22419.4659070625,2,15852.9563734645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367023.1404861,NA
"32",6528,"2-({4-[6-(2,4-diamino-6-oxo-1,3-diazinan-5-yl)-1,1,1-trifluoro-2,2-dihydroxyhexan-3-yl]phenyl}formamido)pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,10914.958834628,2,7718.04140833748,NA,NA,NA,NA,830997.050126764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",6528,"2-({4-[6-(2,4-diamino-6-oxo-1,3-diazinan-5-yl)-1,1,1-trifluoro-2,2-dihydroxyhexan-3-yl]phenyl}formamido)pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,41119.4626230975,2,29075.850859539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916094.208591013,NA,NA,NA,NA,NA
"34",6528,"2-({4-[6-(2,4-diamino-6-oxo-1,3-diazinan-5-yl)-1,1,1-trifluoro-2,2-dihydroxyhexan-3-yl]phenyl}formamido)pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,49890.2920405342,2,35277.763817239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957762.800662761,NA,NA
"35",9239,"3-(4-methoxy-2-methylphenyl)-2,5-dimethyl-n-[1-(3-methyl-1,2,4-oxadiazol-5-yl)propyl]pyrazolo[1,5-a]pyrimidin-7-amine","C22 H26 N6 O2",406.21206,407.21934,118725.05965815,2,83951.2947810551,NA,2266001.76594308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",9239,"3-(4-methoxy-2-methylphenyl)-2,5-dimethyl-n-[1-(3-methyl-1,2,4-oxadiazol-5-yl)propyl]pyrazolo[1,5-a]pyrimidin-7-amine","C22 H26 N6 O2",406.21206,407.21934,207506.995279805,2,146729.603505995,NA,NA,NA,NA,NA,NA,NA,2277812.29858737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",9239,"3-(4-methoxy-2-methylphenyl)-2,5-dimethyl-n-[1-(3-methyl-1,2,4-oxadiazol-5-yl)propyl]pyrazolo[1,5-a]pyrimidin-7-amine","C22 H26 N6 O2",406.21206,407.21934,17889.8016314352,2,12650.00004767,NA,NA,NA,NA,NA,NA,NA,NA,NA,3286547.25818171,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",9239,"3-(4-methoxy-2-methylphenyl)-2,5-dimethyl-n-[1-(3-methyl-1,2,4-oxadiazol-5-yl)propyl]pyrazolo[1,5-a]pyrimidin-7-amine","C22 H26 N6 O2",406.21206,407.21934,192001.749840386,2,135765.73931182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2280837.21091615,NA
