,0
5cb6c85dc8e57adc8c0796cc0d1b2b06,83.0
ef222476181e4892aa94a099dad2f33c,83.0
43d00b4690e1492ea4af858c6bf7d243,82.0
7488d79251fc3264d35e7da9b5c886ed,82.0
578899efc7360960fa7c18fb1ef08a86,82.0
3a8ac4f182bcc14482108be123b5bc68,81.0
4707b2d52cf5bdf43ad39e85d5424170,81.0
6a42a7e0e2db216ddee7b22e26e13223,79.0
b4a6a08056a0d8394663813ca92b7cd9,79.0
434932f01e062c7de7db7f313845fad3,79.0
3a315d91e17f6ddf6db9241f986f8902,79.0
d9fb2b56b109e6509cf4cf5777740b02,78.0
476c41d8bebc151253a9918346c1083a,78.0
4022f53d2515a5ba2fe283c5747a86fb,78.0
5b11253934b41c0fa7337052eb526d2b,78.0
12c50308489072d1540b341e4f37ad85,78.0
851431279425e4534580551fd7115816,78.0
f33428fd6daf11968938d4ad3c824e1c,77.0
6efd4a37776ab7fdb81ecbedd193638a,77.0
96c3621bc4e499e72ceae2a134aa3110,77.0
c21fc1cc74c79afc9e59564f7cbf5d1d,77.0
443786ea9af2ee09fed800f8767e2ebf,76.0
4cbf62803673fa1a96fb83618a289676,76.0
01433303300353ac6dc9dc4fd446942c,76.0
166d113b5d6d93485390cc89713ab97a,76.0
0c7f9104db13931c7635d37bc6756282,75.0
4a506c5297e700bbac31a73fd5a44e78,75.0
995f3a34ce29142a76b5eb71f9dfc8cc,75.0
5435023add7e4ef091572c193537b260,75.0
261b144cda43dc743ef239b6ba2004ce,74.0
867e24c88ce78ab51426314ce9b9af43,74.0
f9ebedbd60b0ec975af9eb1bd11409e8,73.0
52bdacd0a67bfc3faeff9478a0236a09,73.0
630b20234f188c9bc941b3c0a401cd05,73.0
2abd8fa5d63afd4acd7103f99e940488,72.0
c5570c72a6a36a33c8092188a1f271a2,72.0
664dc3f17c2853082f561b090f7f82db,72.0
8bc21eaff3abf4df346a2eb6a552bcc4,72.0
90b7259de86ab0d751acad590ccf7612,71.0
698b76785c71937c243ae65eba0b2bda,70.0
e8f3d675127e14321c4964a6341395ab,70.0
7df78e9fe7488bdf53aa85a35bdb5e48,70.0
5a6d4553e40c36dfe84f74158de9b4d1,69.0
f1c148dce79f409887dc754baf37b03d,69.0
500ea48908714e71aa996b3e564b85cf,69.0
5abaa367137c22de18b8642bef58718e,69.0
4b36d4353d4c2c74bd84b1edd5a11e29,68.0
eb231b4085ded5102c5853f391acee1b,68.0
89f50511b86295ffc50a8a945a895357,68.0
f667c06b343f3210eb91ed9cf4d5d9c8,68.0
9888f7445a0c7f5d66558e6ce1896f23,67.0
918fe320bf0bcbfaa932eafabeda04d2,67.0
384fcea12d435cb4970781b70f40ddd6,67.0
fcf91127895b9fe09734e7af5ba2e27a,66.0
6a64e8b5867b7efda37e03f5ef7f0e9a,66.0
5183339ce3e392734a1ea315829e0a98,66.0
2e5204bf4fc3681b891897bdd9c49fb4,65.0
5bc01fce543479feef40320427f64482,65.0
7e4f0679aaa40221a2ee78979181546f,65.0
3c87de97fc1f5c4b308838559773aca5,65.0
acdc274b80bf84317b82215f84a32873,65.0
ef5e25aa8a885b30a50a5157e5ea34be,64.0
11b6314f7931d8d1fd42fc07aae932ed,64.0
5d7ee1e96f9aced1376875f7f7959b05,63.0
54822ed98b8431ad278f4baa68c068aa,63.0
9d0bddc0adab7e45e072a0e144699cca,62.0
26ac10f4bf78bb893f4cfbbf17026418,62.0
cdda09610b82e7b135eb1a073485496c,62.0
34df06f5eb1538b08dbb35fd24386073,62.0
584721936cc2cebcaf432a751851e0cc,61.0
07cbd461b1a1a57ac0ad2e522cfe2fd2,61.0
30b4772e77bddbfa9eadccc064ad6024,60.0
6640f7fadd9727546c393edd7c63f390,60.0
92ef0de9b4da46d8cf1a8ec2d9e1bc0e,60.0
c7c90c5b3fb5572e3150b5d3fc2e74a1,60.0
d88b7075fbc708f06ea4f52ec8eb2a74,60.0
30b286f6ff0997f3ead9d7c6dc66a97c,60.0
1cd7f5c45ceeadd1ee75165b8908fde4,60.0
a8f0256fe3060b0dd83c89bd489b2493,60.0
8a90ee52dd03179c4f5d9cf4ed1707d1,59.0
2ed576053c479e6d903d9a4b122e14cc,59.0
c8994f27d1c26907a4de3292b1dc47b5,59.0
60a38b47cc8061f665e35cddfb0ce2c0,59.0
ab4e1e68b69536b0b4db08aae980f3e3,59.0
d36d28706f4e81eae83b0d8a28cf3bee,58.0
27f9d6fea78968a54724abcca5938fc6,58.0
630f2e09354cb4f393120586d4b7e7e0,57.0
86b96d3e8b7b3ca84dc194e178795af1,56.0
f0db5d63caf4d0ec31a618e46c838de5,56.0
cd318514536dbff2ba6e18a9978109d5,56.0
e19a6e335bf85588f309481e481f57ed,56.0
dd209b096b0c0163e7d42fb96570ca74,56.0
8347c20a5cf900d33a88388685af8fcd,56.0
6e8368862232eeea807ab1503a03f562,54.0
97dc79764e7a346a1d717197e6614844,54.0
018dbb9d39655749b6424aa9ff54dbfd,54.0
f8b87b35e4a8c65dfe82857684cad15a,54.0
fd4bdcfcab9be1b8aca505f7f381bd4b,54.0
6d9353630320a85d26bfc65597bf8082,53.0
25cac309561fd70e62f282c755217988,53.0
9fb58d75d67a5ff38536a894d91030cd,53.0
c15bbc729f0ab0c46db8eddead517761,53.0
e274ea6596bf5f44f7e8e23bdf5ba92c,53.0
8686d3e235ecea420fd208b50e50cb14,52.0
33adecc4cc8f465664f444240fb5c9dc,52.0
469b39ba2384f208147c807a0e49a873,52.0
60a479a18dad35a80eaab9bfa87d8cdd,52.0
765db33a95f060f11db5da41315f0f24,52.0
a03160e2d5d28f0949a35e7b0c32260c,52.0
84438df5c735590436c08bcee9873508,52.0
7d662884d0c1897cdb526c22b10f17ab,51.0
099a4ec39f297bb78724821c4341ac59,51.0
baa837d914bc14af47ffc60750c52873,51.0
d443d45b9452b33e2f15317f488a8aff,50.0
5660ed71233d71dc1832777fdc7040ad,50.0
a9c85d3d10b7d28ac0c362b64356fedf,50.0
ca3f9469ecb85d863ecf53f15ce7edfd,50.0
78446f8eaf3d8d8a0eb729867ddd256e,50.0
4ec46cbcfe180b5329907d0d8b87ee08,50.0
0911e2f4397d255c37586220d615b7dc,49.0
4ae3d06cc85946366f36239171a209e2,49.0
eab6cec10d917c6fcda089934928821f,49.0
8a59ab5221d649bb80ad64f05d27040c,49.0
e01d576d05a004af473b9eec7a07cd31,49.0
234fec8f77a50b2203383f695b9d63ea,49.0
0e1da621de905443471e7cf77e47cb49,48.0
47bc430f9d9a4023e530c9ba5f02b3fe,48.0
d09dd2747a800163bbfbd0b29d9097f4,48.0
91db4e90f7fc506d001f6575d9016895,48.0
74e129ae2768445e407f919e986748a7,48.0
c2173bac272ff1363c5e63ba1555b1f0,48.0
d38daa026ed298f6cbd04a91bedb8dd2,47.0
55f1de0ada38d7ae95127fe2db2f0bb7,47.0
